Runtime

file	  |    real time   |	cmp           |	  filesize	  |	MCIPS	  |
-----------------------------------------------------------------------------------
100_1	  |	0.005s     |	4950          |	  564 bytes	  |	0.9900
100_2	  |	0.005s     |	4950          |	  569 bytes	  |	0.9900
100_3	  |	0.005s     |	4950          |	  576 bytes	  |	0.9900
100_4	  |	0.005s     |	4950          |	  557 bytes	  |	0.9900
100_5	  |	0.010s     |	4950          |	  565 bytes	  |	0.4950
100_6	  |	0.011s     |    4950          |	  564 bytes	  |	0.4500
100_7	  |	0.003s     |	4950          |	  568 bytes	  |	1.6500
100_8	  |	0.004s     |	4950          |	  568 bytes	  |	1.2375
100_9	  |	0.005s     |	4950          |	  570 bytes	  |	0.9900
100_10	  |	0.004s     |	4950          |	  557 bytes	  |	1.2375
-----------------------------------------------------------------------------------
1000_1	  |	0.017s     |	499500        |	  5,677 bytes	  |    29.3823
1000_2	  |	0.090s     |	499500        |	  5,649 bytes	  |	5.5500
1000_3	  |	0.014s     |	499500        |	  5,657 bytes	  |    35.6785
1000_4	  |	0.020s     |	499500        |	  5,657 bytes	  |    24.9749
1000_5	  |	0.008s     |	499500        |	  5,677 bytes	  |    62.4375
1000_6	  |	0.009s     |	499500        |	  5,646 bytes	  |    55.5000
1000_7	  |	0.009s     |	499500        |	  5,669 bytes	  |    55.5000
1000_8	  |	0.013s     |	499500        |	  5,653 bytes	  |    38.4230
1000_9	  |	0.074s     |	499500        |	  5,649 bytes	  |     6.7500
1000_10	  |	0.025s     |	499500        |	  5,646 bytes	  |    19.9800
-----------------------------------------------------------------------------------
5000_1	  |	0.064s     |	12497500      |	  28,350 bytes	  |   195.2734
5000_2	  |	0.063s     |	12497500      |	  28,299 bytes	  |   198.3730
5000_3	  |	0.314s     |	12497500      |	  28,373 bytes	  |    39.8009
5000_4	  |	0.068s     |	12497500      |	  28,277 bytes	  |   183.7867
5000_5	  |	0.066s     |	12497500      |	  28,301 bytes	  |   189.3560
5000_6	  |	0.262s     |	12497500      |	  28,385 bytes	  |    47.7003
5000_7	  |	0.066s     |	12497500      |	  28,371 bytes	  |   189.3560
5000_8	  |	0.047s     |	12497500      |	  28,256 bytes	  |   265.9042
5000_9	  |	0.063s     |	12497500      |	  28,370 bytes	  |   198.3730
5000_10	  |	0.062s     |	12497500      |	  28,227 bytes	  |   201.5725
-----------------------------------------------------------------------------------
10000_1	  |	0.225s     |	49995000      |	  56,668 bytes	  |   222.2000
10000_2	  |	0.240s     |	49995000      |	  56,630 bytes	  |   208.3125
10000_3	  |	0.162s     |	49995000      |	  56,581 bytes	  |   308.6111
10000_4	  |	0.145s     |	49995000      |	  56,584 bytes	  |   344.7931
10000_5	  |	0.153s     |	49995000      |	  56,545 bytes	  |   326.7647
10000_6	  |	0.151s     |	49995000      |	  56,652 bytes	  |   331.0927
10000_7	  |	0.144s     |	49995000      |	  56,520 bytes	  |   347.1875
10000_8	  |	0.184s     |	49995000      |	  56,692 bytes	  |   271.7119
10000_9	  |	0.245s     |	49995000      |	  56,608 bytes	  |   204.0612
10000_10  |	0.153s     |	49995000      |	  56,566 bytes	  |   326.7647
-----------------------------------------------------------------------------------
50000_1	  |	3.428s     |	1249975000    |	  283,018 bytes	  |   364.6368
50000_2	  |	3.252s     |	1249975000    |	  283,062 bytes	  |   384.3711
50000_3	  |	3.432s     |	1249975000    |	  282,846 bytes	  |   364.2118
50000_4	  |	3.467s     |	1249975000    |	  283,183 bytes	  |   360.5350
50000_5	  |	3.266s     |	1249975000    |	  282,944 bytes	  |   382.7235
50000_6	  |	3.433s     |	1249975000    |	  282,899 bytes	  |   364.1057
50000_7	  |	3.403s     |	1249975000    |	  283,216 bytes	  |   367.3156
50000_8	  |	3.429s     |	1249975000    |	  283,086 bytes	  |   364.5304
50000_9	  |	3.607s     |	1249975000    |	  282,997 bytes	  |   346.5414
50000_10  |	3.499s     |	1249975000    |	  283,116 bytes	  |   357.2377


